timestamp,carbon_intensity,water_intensity
0,387.0187405854565,1.425069444030778
3600,388.24025430258826,1.4295518057999284
7200,393.16391220673484,1.4323160762011586
10800,405.7717003970787,1.4358220621335869
14400,422.42099637499365,1.430644626615127
18000,429.51972664464427,1.4077495969097342
21600,429.74430959260593,1.379547233542323
25200,422.9968390831771,1.3443291007760634
28800,413.7335338862565,1.3018334544628771
32400,403.33678294736677,1.2639735889807804
36000,396.7549295954678,1.2385169651202466
39600,396.9230649924479,1.2399118435998169
43200,405.95505264545676,1.2709692870345282
46800,422.5426499000048,1.326878964764948
50400,442.93308905369145,1.3930123170846624
54000,454.6034309712188,1.4354857182137122
57600,452.3537883193962,1.4393329716888152
61200,450.3172007691581,1.4282878759042439
64800,455.603219336009,1.428843648408886
68400,457.8973546263115,1.4398342483308897
72000,455.25335608837935,1.4539341451975956
75600,450.6789771305621,1.4725162767254716
79200,443.04700936513274,1.4842617982143238
82800,435.3382189925393,1.49132548870394
86400,432.1770098085719,1.494402083426313
90000,430.5541570130457,1.4954815607666128
93600,431.79167224989374,1.4948491426856705
97200,440.06838652378707,1.4932238390801529
100800,448.3174572904209,1.4803628337495125
104400,449.7965499909599,1.4545966697083885
108000,446.7744905831802,1.4267667950380913
111600,438.76343073410936,1.3860665163177754
115200,427.9316046676111,1.3427376500841988
118800,416.0758622133216,1.2992617377530207
122400,408.34949366210583,1.274618762857583
126000,407.7653389369028,1.2772865464376468
129600,415.44973404964054,1.3051730103814005
133200,430.8902884011682,1.357738885853002
136800,448.85994704419556,1.4170800738752076
140400,459.2647186197653,1.4615957282343217
144000,455.3126445367528,1.4607426976277615
147600,452.88828028918977,1.443487058983915
151200,456.1542037586774,1.4425967269274809
154800,457.2045394230187,1.4520837427191162
158400,453.3655701221627,1.4629590206343386
162000,446.8120273821589,1.473426845542987
165600,437.59356698555445,1.4767031009639437
169200,430.43658323399717,1.4849186479396723
172800,426.1258060853415,1.4858951873839574
176400,424.53146991912416,1.4900704525248485
180000,427.4543898307906,1.4917543856644147
183600,436.1574936463494,1.4918855989093012
187200,446.7353997387399,1.4797764196087078
190800,448.92665043009714,1.458818949751761
194400,444.18959794146645,1.428229122286652
198000,434.0369103198181,1.3848793372886252
201600,422.4748599781786,1.340426652619597
205200,409.9596188978876,1.3003681424070324
208800,402.4896268775847,1.274615363814978
212400,402.432640219469,1.27490490065152
216000,409.2685163485819,1.2988562489514144
219600,423.9839794244044,1.3483535195999445
223200,441.81522576676076,1.4111615091679282
226800,452.5122056370983,1.4524900314600688
230400,448.6320331227041,1.4473460446434903
234000,445.8226354232456,1.4287725713666826
237600,447.09083184736005,1.4208024233173757
241200,444.7389943400918,1.4236838469030035
244800,438.69713554475237,1.4316450716282438
248400,432.10644486662386,1.4414944028994512
252000,422.492737018634,1.4433268013382996
255600,414.9996712462361,1.4452276301086973
259200,409.9142507610258,1.4456458377474573
262800,408.11686720449086,1.4433477704519755
266400,410.35840135565303,1.4425089191322629
270000,418.74479576541756,1.4400153103513658
273600,429.37101485127226,1.4310354186884153
277200,431.58467001330615,1.4109701803440913
280800,427.3612338880961,1.383065961360443
284400,419.37412264850116,1.3462371745653858
288000,409.21705687650007,1.3026601754307772
291600,397.09806227517817,1.2621116604994027
295200,388.6627079492482,1.2376954768196031
298800,388.0211962611176,1.2382024832870986
302400,394.92203714753396,1.2625895411760568
306000,409.5305536695174,1.3105366772918439
309600,428.3570834342407,1.3711932530011113
313200,438.72325834459514,1.4074774164963835
316800,435.20830731575205,1.4044631882170553
320400,432.8902927115167,1.3903232970060104
324000,435.1206719629444,1.3875306399978782
327600,435.4916195270261,1.3988371404606947
331200,433.2448795241992,1.4165675549374817
334800,429.77597521214597,1.4332847149999246
338400,422.8689759100236,1.4421183616314244
342000,420.1003386581477,1.4566057642690766
345600,417.9595581912911,1.461517610167075
349200,417.48792255466174,1.4645576369354556
352800,419.9225428547232,1.4677747393215363
356400,427.0663171407408,1.4656735086109718
360000,433.5970392322574,1.451599903582255
363600,434.4296448962754,1.4250820524166017
367200,428.5083690027437,1.3908443914087016
370800,418.3575526499159,1.3478367606504225
374400,407.50873317872123,1.3076846296995632
378000,396.45330894703926,1.2682060857953557
381600,389.5725238008023,1.2422885955845062
385200,389.4304735652231,1.2435062239487562
388800,396.94492260347283,1.2734690836086349
392400,411.96520197595765,1.3271451661887637
396000,430.13128761358587,1.3894017275033559
399600,440.8409160450449,1.4254508078041275
403200,437.3716523722498,1.4250779339615296
406800,435.67887477121553,1.410481313673504
410400,437.08029245827095,1.4094624678393017
414000,434.68069713669286,1.4184634011240036
417600,428.9428138488075,1.4336304827744124
421200,422.0144583091072,1.4485266297621051
424800,413.59248243705457,1.4635182412329713
428400,410.80141593442244,1.4888690051292657
432000,406.54434803813893,1.494212357390021
435600,404.2364836110166,1.4979200351835837
439200,403.7614612720543,1.4993422205425462
442800,405.6061612227981,1.500527144025616
446400,408.27420446786306,1.4976723624526642
450000,409.1823499216766,1.4829700969233401
453600,405.5488276276908,1.4486323257526037
457200,392.2640069823223,1.3847631037802683
460800,375.18790374690246,1.3170265997696406
464400,358.67271634477447,1.2618158201618548
468000,348.1866743125233,1.230505101198673
471600,346.2751037310656,1.227361689637611
475200,353.7971626099825,1.2591839320125018
478800,370.9136949723132,1.3168940696742537
482400,393.67460911553314,1.3879291645957408
486000,406.96787893361494,1.4299865465444566
489600,402.3878411549915,1.414812825334547
493200,397.7972999092472,1.390091241283853
496800,395.554397905853,1.3842077707625051
500400,391.55506223284755,1.3881388329218796
504000,385.4110688085288,1.3941608998306507
507600,381.52964349329517,1.4053563954606152
511200,374.2112522257501,1.414242917771199
514800,368.0435597217245,1.4225047174212457
518400,364.4118064415977,1.428612547986746
522000,362.78832331990776,1.4329713591024242
525600,362.8405579430171,1.4379506379515534
529200,364.40760506965233,1.4417916894750118
532800,366.7097581163834,1.4396924596845215
536400,367.64841335644303,1.429905235998578
540000,364.34870500180153,1.3979072992325743
543600,353.52355019444,1.3381321093178826
547200,340.41669695605003,1.27353069645549
550800,328.5094381452731,1.2191102680146757
554400,321.3282743512252,1.190632028483057
558000,321.0691606917944,1.1902388738122605
561600,329.09516510526623,1.220856269673851
565200,346.0437733823805,1.2795830382655773
568800,372.1469855917999,1.3578948227051064
572400,391.56909057834895,1.4048142682701963
576000,391.8831006837909,1.3950389918102852
579600,387.85308853897857,1.3706235796999906
583200,390.3349021356044,1.3664008931939657
586800,393.0389120172354,1.3794432410576811
590400,392.646553946658,1.387744919958308
594000,392.36191935063704,1.4000265949274586
597600,388.9411029036691,1.4065182432396186
601200,388.84121020832174,1.4227419081825827
