start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,2108933595.8333333,151539733.305
2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,1958190054.1666667,144886178.46833333
2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,1907376729.1666667,142535964.18250003
2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,1918641075.0,140762552.555
2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,2014191950.0,139677207.65416667
2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,2501967866.6666665,144788533.92000002
2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,3363684775.0,164654897.60500002
2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,4125105722.9166665,193173674.0391667
2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,4413984258.333333,200769393.03250003
2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,4514658383.333333,202520214.99666667
2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,4552670658.333333,200091932.5825
2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,4577611587.5,197322008.71
2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,4526129250.0,189321882.98333335
2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,4471856091.666667,183386789.26833335
2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,4505708883.333333,180099839.78333333
2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,4469865783.333333,178273436.24750003
2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,4518574185.416667,181472920.98083332
2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,4657101850.0,198260168.485
2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,4696453137.5,216035704.29583335
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,4686438064.583333,221239180.63916668
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,4483167812.5,198807422.85833335
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,4110538650.0,179511010.82333335
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,3864203933.3333335,178889353.7591667
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,3727142825.0,176637448.99083334
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,3211472720.8333335,168071985.83333334
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,2635642566.6666665,158993636.225
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,2439992941.6666665,154675422.9575
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,2395792608.3333335,149586969.51416668
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,2439461100.0,148599435.77416667
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,2791956141.6666665,153969372.4925
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,3650011283.3333335,172698060.97833332
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,4334202320.833333,198914659.115
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,4464770889.583333,205978115.70083335
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,4546194179.166667,207811897.76250002
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,4534226802.083333,203779281.21666667
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,4532083027.083333,202211551.31916666
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,4473440062.5,197008661.34333333
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,4429453379.166667,188623173.1291667
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,4436562691.666667,187667357.13583335
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,4403748714.583333,184129865.72833335
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,4429330341.666667,187221407.535
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,4491784441.666667,206288607.73083332
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,4498674377.083333,222838877.3575
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,4533579210.416667,226331358.535
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,4339981683.333333,205737150.085
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,4034956841.6666665,182269974.98416665
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,3838433895.8333335,179341562.57833335
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,3699568175.0,179076173.0391667
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,3109110595.8333335,165405284.9225
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,2553057061.5384617,156049414.0446154
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,2385544942.3076925,152956989.3876923
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,2317816715.3846154,149365519.72538462
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,2388684953.8461537,147814004.2623077
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,2755433188.4615383,150954015.28615385
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,3528682388.4615383,167582846.4769231
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,4083386936.5384617,189892309.1292308
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,4194526257.6923075,198547252.0469231
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,4212527801.923077,200286033.89307693
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,4171157428.8461537,196772611.11153847
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,4238803561.5384617,195941550.00076926
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,4263484888.4615383,192125299.87692308
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,4184432330.769231,185810101.39538464
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,4202622544.230769,181857247.02923077
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,4180795844.230769,179045978.1769231
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,4215520294.230769,181760418.18923077
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,4262685032.6923075,194840531.02615386
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,4368986317.307693,214121542.6046154
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,4412280228.846154,221429966.50615385
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,4271991226.923077,205284632.2446154
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,3978587384.6153846,187375345.79846156
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,3868948242.3076925,181944322.87
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,3837573734.6153846,179843168.0392308
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,3449116226.923077,168333404.0623077
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,2953318269.230769,159417262.1246154
2025-01-04 02:00:00+00:00,2025-01-04 03:00:00+00:00,2631873719.230769,155989123.5923077
2025-01-04 03:00:00+00:00,2025-01-04 04:00:00+00:00,2523887607.6923075,153038817.04769233
2025-01-04 04:00:00+00:00,2025-01-04 05:00:00+00:00,2630521319.230769,151812527.16000003
2025-01-04 05:00:00+00:00,2025-01-04 06:00:00+00:00,3126608896.1538463,157904924.1276923
2025-01-04 06:00:00+00:00,2025-01-04 07:00:00+00:00,3946041903.8461537,179727892.69153848
2025-01-04 07:00:00+00:00,2025-01-04 08:00:00+00:00,4368400946.153846,208472293.05538464
2025-01-04 08:00:00+00:00,2025-01-04 09:00:00+00:00,4475891482.692307,216184855.26923078
2025-01-04 09:00:00+00:00,2025-01-04 10:00:00+00:00,4576255890.384615,213143032.60230768
2025-01-04 10:00:00+00:00,2025-01-04 11:00:00+00:00,4554290986.538462,209455699.28230768
2025-01-04 11:00:00+00:00,2025-01-04 12:00:00+00:00,4580197101.923077,203907142.93153846
2025-01-04 12:00:00+00:00,2025-01-04 13:00:00+00:00,4500527367.307693,197939302.6553846
2025-01-04 13:00:00+00:00,2025-01-04 14:00:00+00:00,4433957773.076923,191758385.69307694
2025-01-04 14:00:00+00:00,2025-01-04 15:00:00+00:00,4391334976.923077,186585889.78
2025-01-04 15:00:00+00:00,2025-01-04 16:00:00+00:00,4353096519.230769,185115412.3292308
2025-01-04 16:00:00+00:00,2025-01-04 17:00:00+00:00,4405339713.461538,189977551.5615385
2025-01-04 17:00:00+00:00,2025-01-04 18:00:00+00:00,4486879080.769231,208097156.93923077
2025-01-04 18:00:00+00:00,2025-01-04 19:00:00+00:00,4560207573.076923,225385536.59
2025-01-04 19:00:00+00:00,2025-01-04 20:00:00+00:00,4623982257.692307,229683538.8869231
2025-01-04 20:00:00+00:00,2025-01-04 21:00:00+00:00,4379967557.692307,210534853.0
2025-01-04 21:00:00+00:00,2025-01-04 22:00:00+00:00,4094312334.6153846,189371662.23076922
2025-01-04 22:00:00+00:00,2025-01-04 23:00:00+00:00,3971027788.4615383,185177212.09692308
2025-01-04 23:00:00+00:00,2025-01-05 00:00:00+00:00,3908778757.6923075,184644589.3376923
2025-01-05 00:00:00+00:00,2025-01-05 01:00:00+00:00,3386291103.8461537,169183238.78769234
2025-01-05 01:00:00+00:00,2025-01-05 02:00:00+00:00,2948915100.0,159012641.8246154
2025-01-05 02:00:00+00:00,2025-01-05 03:00:00+00:00,2769297896.1538463,155392577.11230773
2025-01-05 03:00:00+00:00,2025-01-05 04:00:00+00:00,2657500242.3076925,151344628.62
2025-01-05 04:00:00+00:00,2025-01-05 05:00:00+00:00,2710624526.923077,151299880.5746154
2025-01-05 05:00:00+00:00,2025-01-05 06:00:00+00:00,3136654369.230769,156510437.31384617
2025-01-05 06:00:00+00:00,2025-01-05 07:00:00+00:00,3939714073.076923,177807793.29769233
2025-01-05 07:00:00+00:00,2025-01-05 08:00:00+00:00,4427755444.230769,207443157.28692308
2025-01-05 08:00:00+00:00,2025-01-05 09:00:00+00:00,4589218811.538462,215112827.55153847
2025-01-05 09:00:00+00:00,2025-01-05 10:00:00+00:00,4642738430.769231,216096240.66461542
2025-01-05 10:00:00+00:00,2025-01-05 11:00:00+00:00,4629059319.230769,213100956.07384616
2025-01-05 11:00:00+00:00,2025-01-05 12:00:00+00:00,4634232561.538462,209624129.80461538
2025-01-05 12:00:00+00:00,2025-01-05 13:00:00+00:00,4624950076.923077,200728516.60307693
2025-01-05 13:00:00+00:00,2025-01-05 14:00:00+00:00,4569411190.384615,191778291.36153847
2025-01-05 14:00:00+00:00,2025-01-05 15:00:00+00:00,4496132188.461538,184811068.6946154
2025-01-05 15:00:00+00:00,2025-01-05 16:00:00+00:00,4409638319.230769,180692646.03615385
2025-01-05 16:00:00+00:00,2025-01-05 17:00:00+00:00,4431394725.0,182667212.54
2025-01-05 17:00:00+00:00,2025-01-05 18:00:00+00:00,4523438315.384615,197462039.47846156
