start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,10263377260.285715,19743063.220371425
2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,10086458649.576923,19528672.96996153
2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,10109936465.615385,19568052.68692307
2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,10257371031.461538,19810851.859530766
2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,10408515437.26923,20058640.841538455
2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,10873712372.692308,20819195.196715377
2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,12746597304.884615,23901207.45431538
2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,14676806664.26923,27212811.342938457
2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,15552959349.76923,29229631.808761533
2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,15926632523.26923,30527252.732653838
2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,15724347305.23077,30275831.137646146
2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,15795543693.423077,30457535.11604615
2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,15776628068.615385,30418607.673207685
2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,15788908584.461538,30377754.985592302
2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,15510363182.5,29394938.281061534
2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,15277333483.615385,28619591.82175384
2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,15023229010.26923,27978065.342876915
2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,14870649786.615385,27714796.87947692
2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,14861927418.653847,27854391.25927692
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,15114752231.423077,28574150.0277923
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,15294706352.576923,29005205.41664615
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,14493196469.115385,27417920.90052307
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,13140287219.923077,24715816.626199998
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,11975847332.076923,22671691.11173076
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,11819653312.76923,22319409.881130762
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,11607976298.461538,21949970.436438456
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,11436877337.307692,21671120.79038461
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,11528612562.5,21822482.887399994
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,11594046137.076923,21932168.2049923
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,11876363371.307692,22414064.152692303
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,13651239206.26923,25319913.934961535
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,15405720202.192308,28365367.657653842
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,16224786685.5,30248100.163269226
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,16369646885.73077,30922456.89826922
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,16203265954.23077,30955836.167599995
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,16262262785.115385,31128312.33398461
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,16307186758.461538,31208139.550384615
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,16264755757.846153,30950977.23924615
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,16013433785.0,30089459.452576917
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,15807431192.384615,29482561.458776914
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,15574353430.576923,28943683.446869228
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,15352124888.538462,28580647.26405384
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,15350470475.153847,28692339.26012307
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,15740412951.346153,29470734.413461532
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,15926610915.423077,29877066.560669225
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,15356383955.346153,28656968.5688923
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,14158814496.26923,26336324.755938455
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,12783422005.0,23966059.501492303
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,12452292010.807692,23359073.028707687
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,12073698734.307692,22730301.11511538
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,11938791827.115385,22509519.884999994
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,12063130586.26923,22712387.752353843
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,12122992213.884615,22810976.573023073
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,12390642029.192308,23246112.24596923
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,14101711662.576923,26047572.312961534
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,15893792629.076923,29089861.660392303
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,16708167275.692308,31104905.490461532
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,16784651155.73077,31759192.346969225
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,16668211719.461538,31804385.769669227
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,16816957652.576923,32176434.11773846
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,16809443423.307692,32163972.176192302
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,16793247980.423077,31916920.719092302
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,16568067825.576923,31016480.451946147
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,16353535877.115385,30393917.609069224
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,16041897811.5,29750449.02425384
