timestamp,carbon_intensity,water_intensity
0,431.8910722728135,1.8842330447341298
3600,433.3370139225383,1.886030356973125
7200,440.4314147872217,1.8865026047293163
10800,453.2772822521814,1.8767285887966567
14400,448.32161947548116,1.8033986569789755
18000,426.53497870783156,1.691478681313709
21600,398.6698358757887,1.5573686454848996
25200,371.1475379320707,1.4305144550269793
28800,344.2545333407235,1.324171558584652
32400,324.3382675455499,1.2533674357138993
36000,313.37167413967353,1.2139619263899746
39600,309.5519654095367,1.2020813821123362
43200,312.2080466532824,1.2144215108939662
46800,323.2447878485847,1.2548771623739723
50400,345.1972314843916,1.335891675437492
54000,378.30309369426107,1.4534617547648172
57600,413.94099759157785,1.5870854390221296
61200,440.27115835492333,1.7079476032667371
64800,457.5145759277599,1.7772511325204283
68400,468.132003390395,1.8037285558624132
72000,470.7661494989718,1.8109744091305289
75600,469.7696306141307,1.8194645013476995
79200,463.06523942924565,1.8306483673602245
82800,458.40714677443543,1.8368799001022997
86400,454.8208777558406,1.842103003791376
90000,454.510039918521,1.8500869489761411
93600,457.8073091036418,1.8553418115058116
97200,466.6312938977649,1.8494822066348175
100800,462.9538322997052,1.8008963602262857
104400,437.8993494538908,1.6892425110227178
108000,406.27895542979803,1.5511230755921697
111600,374.8789323469907,1.4269897706244827
115200,346.066781149419,1.3152381902793193
118800,324.7036051510989,1.2424805898872657
122400,312.60103244869964,1.1996950669220736
126000,308.24607738524804,1.188382678592675
129600,310.3225277242522,1.2033181250829907
133200,321.4326844969037,1.2474111543137185
136800,344.0998860052466,1.3288221766487387
140400,378.4274967859803,1.449266508333052
144000,416.2306143314603,1.5846984385097826
147600,442.7101091763818,1.703159573310929
151200,459.6129155838036,1.7740873105044153
154800,467.39341151498303,1.7849149926193042
158400,468.3981948688431,1.7934004359562175
162000,466.1515128258598,1.7992308353712188
165600,460.4898430727664,1.8168241523400042
169200,454.6553453715391,1.830502372037441
172800,452.64949420278396,1.8390957574291962
176400,452.5865194475062,1.8451820605090155
180000,456.9423091819837,1.8495454595221104
183600,465.65154273994517,1.8457683851206481
187200,462.620279141886,1.7980502545727743
190800,437.92032336957215,1.6896190895381948
194400,408.2988129730564,1.5619419714151237
198000,379.3397353055465,1.438151956986103
201600,349.619759019306,1.3279349308084047
205200,327.14238254611695,1.2527745573542892
208800,313.655398350493,1.2086849725440882
212400,308.24429642707395,1.1937783896399385
